seq_rows,seq_cols,coeffs
140,32,0.33015371861030235
140,33,0.0688569024446546
140,34,0.41942121579928465
140,36,0.1815681631457584
141,25,0.06049412976772047
141,26,0.10691202319518375
141,27,0.1072619957347916
141,28,0.14886416215656487
141,29,0.15996104425514177
141,30,0.0639873013709224
141,31,0.12282725381660128
141,35,0.22969208970307387
142,25,0.03958840140127432
142,26,0.06996507107590007
142,27,0.07019409913912897
142,28,0.09741927404108437
142,29,0.10468126498975808
142,30,0.04187439311852159
142,31,0.08038027236326081
142,32,0.11409543350637676
142,33,0.02379575843458032
142,34,0.1449447416186022
142,35,0.15031446325086037
142,36,0.06274682706065213
143,32,0.33015371861030235
143,33,0.0688569024446546
143,34,0.41942121579928465
143,36,0.1815681631457584
144,25,0.06049412976772047
144,26,0.10691202319518375
144,27,0.1072619957347916
144,28,0.14886416215656487
144,29,0.15996104425514177
144,30,0.0639873013709224
144,31,0.12282725381660128
144,35,0.22969208970307387
145,25,0.03958840140127432
145,26,0.06996507107590007
145,27,0.07019409913912897
145,28,0.09741927404108437
145,29,0.10468126498975808
145,30,0.04187439311852159
145,31,0.08038027236326081
145,32,0.11409543350637676
145,33,0.02379575843458032
145,34,0.1449447416186022
145,35,0.15031446325086037
145,36,0.06274682706065213
146,32,0.33015371861030235
146,33,0.0688569024446546
146,34,0.41942121579928465
146,36,0.1815681631457584
147,25,0.06049412976772047
147,26,0.10691202319518375
147,27,0.1072619957347916
147,28,0.14886416215656487
147,29,0.15996104425514177
147,30,0.0639873013709224
147,31,0.12282725381660128
147,35,0.22969208970307387
148,25,0.03958840140127432
148,26,0.06996507107590007
148,27,0.07019409913912897
148,28,0.09741927404108437
148,29,0.10468126498975808
148,30,0.04187439311852159
148,31,0.08038027236326081
148,32,0.11409543350637676
148,33,0.02379575843458032
148,34,0.1449447416186022
148,35,0.15031446325086037
148,36,0.06274682706065213
149,32,0.33015371861030235
149,33,0.0688569024446546
149,34,0.41942121579928465
149,36,0.1815681631457584
150,25,0.06049412976772047
150,26,0.10691202319518375
150,27,0.1072619957347916
150,28,0.14886416215656487
150,29,0.15996104425514177
150,30,0.0639873013709224
150,31,0.12282725381660128
150,35,0.22969208970307387
151,25,0.03958840140127432
151,26,0.06996507107590007
151,27,0.07019409913912897
151,28,0.09741927404108437
151,29,0.10468126498975808
151,30,0.04187439311852159
151,31,0.08038027236326081
151,32,0.11409543350637676
151,33,0.02379575843458032
151,34,0.1449447416186022
151,35,0.15031446325086037
151,36,0.06274682706065213
152,32,0.33015371861030235
152,33,0.0688569024446546
152,34,0.41942121579928465
152,36,0.1815681631457584
153,25,0.06049412976772047
153,26,0.10691202319518375
153,27,0.1072619957347916
153,28,0.14886416215656487
153,29,0.15996104425514177
153,30,0.0639873013709224
153,31,0.12282725381660128
153,35,0.22969208970307387
154,25,0.03958840140127432
154,26,0.06996507107590007
154,27,0.07019409913912897
154,28,0.09741927404108437
154,29,0.10468126498975808
154,30,0.04187439311852159
154,31,0.08038027236326081
154,32,0.11409543350637676
154,33,0.02379575843458032
154,34,0.1449447416186022
154,35,0.15031446325086037
154,36,0.06274682706065213
155,32,0.33015371861030235
155,33,0.0688569024446546
155,34,0.41942121579928465
155,36,0.1815681631457584
156,25,0.06049412976772047
156,26,0.10691202319518375
156,27,0.1072619957347916
156,28,0.14886416215656487
156,29,0.15996104425514177
156,30,0.0639873013709224
156,31,0.12282725381660128
156,35,0.22969208970307387
157,25,0.03958840140127432
157,26,0.06996507107590007
157,27,0.07019409913912897
157,28,0.09741927404108437
157,29,0.10468126498975808
157,30,0.04187439311852159
157,31,0.08038027236326081
157,32,0.11409543350637676
157,33,0.02379575843458032
157,34,0.1449447416186022
157,35,0.15031446325086037
157,36,0.06274682706065213
158,32,0.33015371861030235
158,33,0.0688569024446546
158,34,0.41942121579928465
158,36,0.1815681631457584
159,25,0.06049412976772047
159,26,0.10691202319518375
159,27,0.1072619957347916
159,28,0.14886416215656487
159,29,0.15996104425514177
159,30,0.0639873013709224
159,31,0.12282725381660128
159,35,0.22969208970307387
160,25,0.03958840140127432
160,26,0.06996507107590007
160,27,0.07019409913912897
160,28,0.09741927404108437
160,29,0.10468126498975808
160,30,0.04187439311852159
160,31,0.08038027236326081
160,32,0.11409543350637676
160,33,0.02379575843458032
160,34,0.1449447416186022
160,35,0.15031446325086037
160,36,0.06274682706065213
161,32,0.33015371861030235
161,33,0.0688569024446546
161,34,0.41942121579928465
161,36,0.1815681631457584
162,25,0.06049412976772047
162,26,0.10691202319518375
162,27,0.1072619957347916
162,28,0.14886416215656487
162,29,0.15996104425514177
162,30,0.0639873013709224
162,31,0.12282725381660128
162,35,0.22969208970307387
163,25,0.03958840140127432
163,26,0.06996507107590007
163,27,0.07019409913912897
163,28,0.09741927404108437
163,29,0.10468126498975808
163,30,0.04187439311852159
163,31,0.08038027236326081
163,32,0.11409543350637676
163,33,0.02379575843458032
163,34,0.1449447416186022
163,35,0.15031446325086037
163,36,0.06274682706065213
164,32,0.33015371861030235
164,33,0.0688569024446546
164,34,0.41942121579928465
164,36,0.1815681631457584
165,25,0.06049412976772047
165,26,0.10691202319518375
165,27,0.1072619957347916
165,28,0.14886416215656487
165,29,0.15996104425514177
165,30,0.0639873013709224
165,31,0.12282725381660128
165,35,0.22969208970307387
166,25,0.03958840140127432
166,26,0.06996507107590007
166,27,0.07019409913912897
166,28,0.09741927404108437
166,29,0.10468126498975808
166,30,0.04187439311852159
166,31,0.08038027236326081
166,32,0.11409543350637676
166,33,0.02379575843458032
166,34,0.1449447416186022
166,35,0.15031446325086037
166,36,0.06274682706065213
167,32,0.33015371861030235
167,33,0.0688569024446546
167,34,0.41942121579928465
167,36,0.1815681631457584
168,25,0.06049412976772047
168,26,0.10691202319518375
168,27,0.1072619957347916
168,28,0.14886416215656487
168,29,0.15996104425514177
168,30,0.0639873013709224
168,31,0.12282725381660128
168,35,0.22969208970307387
169,25,0.03958840140127432
169,26,0.06996507107590007
169,27,0.07019409913912897
169,28,0.09741927404108437
169,29,0.10468126498975808
169,30,0.04187439311852159
169,31,0.08038027236326081
169,32,0.11409543350637676
169,33,0.02379575843458032
169,34,0.1449447416186022
169,35,0.15031446325086037
169,36,0.06274682706065213
170,32,0.33015371861030235
170,33,0.0688569024446546
170,34,0.41942121579928465
170,36,0.1815681631457584
171,25,0.06049412976772047
171,26,0.10691202319518375
171,27,0.1072619957347916
171,28,0.14886416215656487
171,29,0.15996104425514177
171,30,0.0639873013709224
171,31,0.12282725381660128
171,35,0.22969208970307387
172,25,0.03958840140127432
172,26,0.06996507107590007
172,27,0.07019409913912897
172,28,0.09741927404108437
172,29,0.10468126498975808
172,30,0.04187439311852159
172,31,0.08038027236326081
172,32,0.11409543350637676
172,33,0.02379575843458032
172,34,0.1449447416186022
172,35,0.15031446325086037
172,36,0.06274682706065213
173,32,0.33015371861030235
173,33,0.0688569024446546
173,34,0.41942121579928465
173,36,0.1815681631457584
174,25,0.06049412976772047
174,26,0.10691202319518375
174,27,0.1072619957347916
174,28,0.14886416215656487
174,29,0.15996104425514177
174,30,0.0639873013709224
174,31,0.12282725381660128
174,35,0.22969208970307387
175,25,0.03958840140127432
175,26,0.06996507107590007
175,27,0.07019409913912897
