bea_code,column_index
00389_812300,389
00390_812900,390
00391_813100,391
00392_813A00,392
00393_813B00,393
00394_814000,394
00395_S00500,395
00396_S00600,396
00397_491000,397
00398_S00101,398
00399_S00102,399
00400_GSLGE,400
00401_GSLGH,401
00402_GSLGO,402
00403_S00201,403
00404_S00202,404
00405_S00203,405
00406_S00401,406
00407_S00402,407
00408_S00300,408
00409_S00900,409
